"","Elevation","Aspect","Slope","Horizontal_Distance_To_Hydrology","Vertical_Distance_To_Hydrology","Horizontal_Distance_To_Roadways","Hillshade_9am","Hillshade_Noon","Hillshade_3pm","Horizontal_Distance_To_Fire_Points","wildernessArea","soilType"
"35",3228,177,5,283,15,5627,222,243,155,1209,1,23
"36",3176,65,17,390,93,3025,234,202,95,902,3,24
"37",3260,13,13,150,14,6131,207,213,142,361,1,22
"38",2977,251,14,127,13,2054,189,249,197,1237,3,23
"39",3534,348,20,256,100,2732,178,203,160,2244,1,40
"40",3209,136,14,272,60,1323,241,234,119,1765,2,23
"41",3205,18,12,424,30,3616,211,215,139,4322,1,29
"42",3002,67,22,127,43,716,236,189,74,642,1,29
"43",3081,264,2,499,64,2870,214,240,164,834,3,32
"44",2974,169,1,30,0,1842,220,239,156,3772,1,23
"45",3087,225,8,30,2,1781,209,248,175,499,3,31
"46",3121,42,12,170,2,2429,222,213,124,1376,1,29
"47",3241,50,15,309,26,1825,226,207,112,2473,1,39
"48",3386,230,19,390,131,3443,188,254,199,691,1,39
"49",3126,103,21,330,51,4341,250,208,76,3289,1,29
"50",3264,266,3,636,73,3581,211,241,167,2582,1,38
"51",3268,207,4,957,131,2155,217,244,163,2215,3,31
"52",3177,330,15,424,40,1915,182,220,177,655,3,23
"53",3270,348,14,433,70,3768,193,216,161,3906,1,38
"54",3150,29,12,330,32,2865,216,213,132,990,3,24
"55",2778,60,4,30,-1,1036,223,231,144,3108,3,20
"56",2849,275,20,170,50,2287,163,240,215,1423,3,13
"57",3299,326,22,108,27,3219,160,209,186,2439,3,24
"58",2975,225,5,362,29,5044,213,245,169,2174,1,29
"59",3242,215,16,295,66,3191,202,254,183,3124,1,23
"60",3212,68,20,175,17,3365,236,197,84,400,3,22
"61",2984,211,11,42,5,1358,212,250,173,342,3,23
"62",3277,10,11,295,51,3181,209,219,147,2176,1,29
"63",3268,356,19,30,0,5556,185,202,151,895,1,38
"64",3226,338,8,85,12,1413,204,229,165,553,3,23
"65",3176,38,11,323,10,1917,220,216,129,859,3,31
"66",3212,0,15,0,0,1677,197,211,150,2469,3,22
"67",2836,83,22,108,38,120,244,195,69,693,1,29
"68",3324,31,7,509,129,1411,218,225,143,2647,1,29
"69",3305,254,6,85,6,1844,206,244,176,1682,3,32
"70",3034,68,14,240,-20,853,233,212,108,799,1,29
"71",2797,280,18,60,28,1995,168,239,210,1191,3,13
"72",3331,309,16,212,63,5378,176,228,192,914,1,39
"73",3296,170,7,1052,180,2382,225,243,152,2210,3,31
"74",3045,290,13,120,20,2240,182,238,195,3234,1,22
"75",2921,121,7,0,0,1907,232,234,135,430,3,23
"76",3188,66,21,268,61,4146,235,193,79,3663,1,22
"77",3196,292,5,192,-2,85,205,239,172,1371,2,23
"78",2953,63,21,85,26,2282,233,191,80,2663,3,33
"79",2996,85,14,67,19,4442,240,215,102,175,1,29
"80",3301,105,8,153,33,3289,234,230,128,674,3,38
"81",2958,29,16,323,77,2431,213,204,123,2133,3,33
"82",2958,336,9,0,0,2179,201,229,167,942,1,20
"83",2683,0,13,0,0,2654,201,216,152,6675,1,29
"84",3156,295,16,503,32,3613,172,234,201,1332,3,22
"85",3473,124,5,713,188,2316,229,236,140,1302,1,40
"86",2926,64,10,42,6,1746,230,219,122,1492,3,31
"87",3039,47,17,90,1,3378,224,200,105,1455,3,23
"88",3070,114,21,277,78,3081,251,214,81,920,3,33
"89",2991,52,16,134,29,5197,227,204,106,2471,1,29
"90",3025,102,7,0,0,2452,232,231,132,3968,1,23
"91",3116,113,18,124,26,3686,248,219,94,4161,1,29
"92",2968,12,14,242,16,3313,205,211,141,6485,1,20
"93",3062,311,14,134,38,2932,180,229,188,607,1,23
"94",3280,204,29,212,55,973,191,251,178,1006,1,22
"95",2879,13,8,42,4,1784,212,223,148,1082,3,23
"96",3054,63,21,268,70,1805,233,193,82,3576,3,33
"97",3111,157,8,153,8,1050,229,241,145,1718,1,22
"98",2961,95,6,361,13,5011,229,231,136,2287,1,23
"99",3001,256,16,402,59,5821,181,248,204,1842,1,29
"100",2843,260,35,124,72,2154,117,234,242,1358,3,13
"101",3273,291,14,509,113,4140,180,237,197,2325,3,38
"102",2801,334,22,150,39,1698,165,206,177,1221,3,33
"103",2988,141,15,42,1,2589,241,235,120,421,1,30
"104",2893,145,15,30,0,4263,240,236,122,2768,1,30
"105",2690,36,2,30,4,1601,219,234,152,1333,1,20
"106",3306,358,12,511,31,2423,202,218,154,872,3,22
"107",3394,194,4,964,212,1113,219,243,160,631,2,31
"108",3291,353,13,713,220,3570,197,217,157,2008,3,32
"109",3446,126,4,799,161,2379,227,237,145,1291,1,40
"110",3090,218,8,503,12,2616,211,248,173,1032,3,32
"111",3318,310,12,360,43,2576,187,232,185,830,3,22
"112",3277,77,19,270,43,3565,240,201,84,1761,1,29
"113",3103,16,18,750,184,4381,201,199,130,3721,1,29
"114",3030,72,9,362,59,4497,231,223,125,811,1,30
"115",3129,108,10,120,23,3185,237,229,122,5258,1,30
"116",3150,69,20,510,227,2134,237,197,83,2469,3,33
"117",3271,103,20,192,52,2577,249,211,81,2711,1,30
"118",3368,324,25,162,17,3570,150,204,190,1362,1,39
"119",3189,297,10,212,9,4598,192,237,184,1057,3,23
"120",3259,359,19,95,25,4444,189,202,148,1415,3,39
"121",3127,24,14,108,22,4306,212,209,131,3520,1,22
"122",3178,270,3,120,2,5032,212,240,166,2496,1,19
"123",3247,88,12,600,115,787,238,220,110,5616,2,22
"124",3209,13,18,339,66,2275,200,201,134,2659,3,24
"125",3106,58,15,339,52,3618,229,207,106,3030,1,29
"126",3176,54,14,685,95,1350,228,208,111,2508,3,32
"127",3167,200,13,360,27,2279,215,251,169,810,1,22
"128",3271,354,9,351,77,3532,206,225,158,2683,3,31
"129",3126,63,7,30,1,3997,226,226,134,3287,3,22
"130",3191,8,2,547,96,5210,217,235,155,2173,1,19
"131",2979,341,11,0,0,3301,196,223,166,1084,3,20
"132",3261,94,13,582,10,785,240,220,107,5674,2,40
"133",3014,326,2,0,0,2971,215,237,160,658,1,19
"134",2939,60,14,418,115,708,230,210,109,968,3,33
"135",3191,254,25,319,88,297,157,247,223,2279,2,40
"136",3175,230,7,552,22,1827,209,247,175,470,3,23
"137",3116,36,6,765,35,2041,220,226,143,2551,3,32
"138",3165,85,9,560,23,3312,233,225,124,3891,1,29
"139",3219,252,21,247,71,1146,168,249,215,1429,2,40
"140",3260,0,9,283,78,2681,207,223,154,2514,3,24
"141",3059,137,9,67,-7,2236,234,237,134,3515,3,24
"142",3165,117,6,685,-6,4436,231,234,136,1936,1,20
"143",2801,81,11,402,45,1837,235,219,114,2084,1,12
"144",3212,302,32,297,-65,3368,117,207,222,2014,1,29
"145",3240,22,5,210,6,0,217,229,149,1071,3,32
"146",3225,53,5,85,0,4497,223,229,142,1749,1,38
"147",3192,329,14,283,54,3630,186,223,176,1867,3,31
"148",3015,28,17,810,249,1705,211,201,121,2151,3,33
"149",3126,126,15,153,-29,4641,244,229,110,1181,1,30
"150",3355,6,19,342,88,5220,194,201,141,503,1,38
"151",3062,316,20,95,34,3063,164,219,194,2654,3,24
"152",2975,315,13,258,-11,3883,185,229,184,732,1,29
"153",3157,0,15,228,45,3177,197,211,150,2428,3,31
"154",3231,281,18,417,100,1816,167,239,210,2151,3,31
"155",3060,186,10,134,-9,2161,222,247,158,3799,1,23
"156",3247,316,14,789,29,3463,183,228,184,1129,3,22
"157",3302,188,20,42,8,2121,217,250,157,3720,2,32
"158",3245,0,13,604,62,1405,200,215,152,1542,3,13
"159",3303,178,11,30,2,1465,225,247,152,1318,1,35
"160",3296,5,15,577,93,2072,200,210,146,890,3,31
"161",2953,85,34,60,-11,1124,245,162,18,1632,3,33
"162",3304,226,16,42,-2,3576,195,253,192,1739,3,32
"163",3118,32,30,201,37,3986,198,162,82,780,1,29
"164",3191,142,5,0,0,912,228,239,144,1398,1,23
"165",3492,277,23,210,78,3065,152,237,222,1900,1,40
"166",3236,199,9,335,69,2640,217,248,165,895,3,32
"167",2687,333,5,127,24,1761,208,233,164,6691,1,12
"168",3110,315,10,277,69,721,192,232,179,1100,2,23
"169",3087,133,12,390,61,379,239,234,123,1812,1,22
"170",3205,298,16,90,41,4884,174,233,198,845,1,22
"171",3020,114,8,270,49,4328,233,233,131,990,1,30
"172",3044,50,24,256,76,5055,223,182,80,2376,1,29
"173",3188,30,27,339,125,1170,201,170,92,426,1,22
"174",3132,321,13,150,37,4352,185,227,181,1282,1,29
"175",2761,43,18,90,27,1345,221,199,107,1666,1,12
"176",3376,332,21,277,83,2329,166,208,179,2605,1,39
"177",3086,68,11,182,39,2949,232,218,118,5996,1,29
"178",2993,76,2,95,4,1678,222,235,150,1608,1,29
"179",3206,286,15,553,82,3645,178,239,200,1323,3,22
"180",3105,72,6,256,19,3417,227,228,136,966,1,29
"181",3205,279,10,655,163,3337,194,242,187,1154,3,32
"182",3061,5,11,212,31,4751,206,219,150,953,1,29
"183",2953,34,5,95,-8,1385,219,228,145,2121,1,23
"184",2991,27,11,379,72,4935,215,217,137,5917,1,12
"185",3065,183,5,30,-1,2250,221,243,157,3711,1,23
"186",3132,12,8,108,16,3529,212,224,149,4014,1,29
"187",3158,156,8,228,18,1012,230,241,144,2184,1,22
"188",3243,106,14,420,53,1351,243,223,107,1396,1,29
"189",3001,45,9,537,-2,4295,223,220,131,3333,1,29
"190",3099,36,4,108,1,4161,220,230,147,1366,1,22
"191",3221,12,8,258,30,3439,212,224,149,3638,1,23
"192",2966,50,11,0,0,2287,225,215,123,866,1,20
"193",2784,272,24,30,15,1965,148,239,225,1211,3,23
"194",3013,84,29,256,77,1615,246,177,39,2577,3,33
"195",3285,297,15,376,3,2097,178,234,196,3121,1,39
"196",2976,305,17,134,33,1921,172,229,197,1140,1,29
"197",3353,96,10,552,71,2255,236,226,121,2242,1,38
"198",3024,9,12,210,49,5173,206,216,146,3805,1,29
"199",3220,319,9,162,29,1436,198,232,174,457,3,23
"200",3293,340,8,60,8,4053,204,229,164,1617,1,23
"201",3151,262,7,443,77,1019,204,244,179,2839,3,33
"202",3196,111,17,551,64,595,247,220,96,5745,2,22
"203",3231,301,10,469,5,5375,192,236,183,1834,1,22
"204",3372,252,11,895,115,1006,196,248,190,2173,3,32
"205",3037,32,10,362,62,5365,218,218,134,3740,1,29
"206",3289,56,21,339,101,1766,228,191,87,2285,1,29
"207",3196,0,1,175,10,1383,217,236,156,182,3,23
"208",2868,276,12,67,5,3532,187,243,195,2771,1,29
"209",3124,148,12,90,8,450,236,239,132,2172,1,23
"210",2949,57,11,0,0,4452,228,216,120,3740,1,29
"211",2942,74,8,242,33,4723,230,224,127,4153,1,23
"212",3152,54,8,95,9,1358,225,222,130,4712,2,19
"213",3171,62,16,525,90,1471,232,207,103,3542,3,33
"214",3153,307,15,30,7,1150,178,230,192,2579,1,30
"215",3246,336,17,362,28,3931,181,216,172,1598,3,22
"216",3234,344,14,30,9,3520,192,218,164,2423,3,31
"217",3302,306,10,124,34,3384,192,235,183,1667,1,38
"218",3093,10,18,67,10,4838,198,201,137,3019,1,29
"219",3268,85,35,400,231,3857,244,158,0,2542,3,33
"220",2857,45,11,433,95,3491,223,216,126,6091,1,12
"221",2971,100,4,90,6,1253,227,234,142,335,3,23
"222",2880,148,16,67,14,3645,240,236,120,2806,1,29
"223",2844,25,15,60,16,1463,211,206,128,2586,3,24
"224",3252,347,19,256,75,1455,181,206,161,2609,1,29
"225",2949,119,19,90,6,361,249,220,91,1205,1,29
"226",3200,359,10,700,152,1963,205,221,154,402,3,34
"227",3188,45,8,134,-5,2538,223,223,135,1328,3,23
"228",3130,353,23,85,25,1199,175,194,152,1027,3,22
"229",3283,98,23,270,76,2103,250,201,66,1964,3,33
"230",3238,271,10,192,30,837,193,243,189,1831,2,23
"231",3075,129,10,134,17,4063,237,234,127,607,1,29
"232",3173,29,10,295,37,2938,217,219,137,1231,1,29
"233",3352,83,8,418,60,1842,231,227,128,3037,2,38
"234",3310,9,11,295,34,1972,207,217,146,1380,3,31
"235",3143,95,11,120,11,376,238,224,116,5388,2,23
"236",3250,86,33,150,92,4861,246,167,24,1507,1,30
"237",3040,90,2,0,0,2967,222,236,150,509,1,30
"238",3209,346,17,190,48,1302,185,211,163,2445,1,29
"239",3246,46,14,30,4,1213,224,208,115,1020,3,31
"240",3215,318,22,361,90,3486,157,214,194,1801,3,31
"241",3067,43,10,162,4,2151,222,219,131,1485,1,23
"242",3079,73,13,30,6,5064,235,215,110,175,1,29
"243",2985,62,11,457,46,2340,230,217,119,2684,3,31
"244",2955,274,19,150,26,5780,166,241,213,1557,1,29
"245",2901,307,15,67,-6,2809,178,230,192,454,3,32
"246",2965,204,11,192,39,5386,214,250,170,2938,1,29
"247",3143,320,25,457,76,1691,148,207,195,3228,1,29
"248",3378,135,6,180,23,1739,230,237,141,3208,2,38
"249",3199,7,6,150,16,5504,213,229,153,2361,1,22
"250",3134,23,14,467,53,1207,211,209,132,2554,3,32
"251",3244,163,10,240,31,5827,230,243,145,1142,1,22
"252",2960,281,5,42,0,2416,206,240,173,458,1,20
"253",3257,226,15,240,50,1405,198,253,189,2761,3,33
"254",3157,3,12,543,49,1781,204,217,150,2621,3,31
"255",3110,344,4,150,27,2048,211,233,160,2006,1,29
"256",3147,21,7,446,51,5731,216,226,147,953,1,29
"257",3263,151,15,30,4,4412,238,239,127,2230,1,38
"258",3150,354,23,277,39,3963,174,192,151,883,3,24
"259",3344,34,12,150,31,2128,218,213,129,2173,2,38
"260",2994,74,15,30,7,966,237,209,99,2716,3,23
"261",3225,234,7,90,11,4981,209,246,175,443,1,22
"262",3227,145,15,256,65,1515,240,236,122,2713,1,29
"263",3112,307,10,120,-3,1998,193,234,181,1022,3,23
"264",3303,284,29,997,184,3737,130,227,230,2357,3,27
"265",3100,335,15,0,0,430,185,218,172,815,2,23
"266",3306,216,15,190,0,3538,203,253,183,1758,3,32
"267",3168,146,3,335,6,4315,224,239,150,930,1,29
"268",3167,158,14,95,12,1347,235,241,134,1828,2,23
"269",3003,38,14,201,18,4650,219,208,120,2589,1,29
"270",3399,34,25,182,82,4009,206,175,92,824,1,40
"271",3074,227,10,503,-20,2647,206,249,179,942,3,23
"272",3020,4,21,408,-39,1065,187,195,140,2048,3,33
"273",3144,326,7,120,18,2268,203,232,168,722,3,23
"274",3035,52,11,382,24,3048,226,217,124,361,1,22
"275",3424,91,14,524,139,2126,241,217,102,1492,1,35
"276",3189,311,10,134,6,764,193,233,180,902,2,22
"277",3120,319,9,85,0,1575,196,232,175,805,3,23
"278",3416,50,7,366,87,1146,224,225,136,3944,2,35
"279",3167,12,23,256,22,1806,190,187,127,1840,3,39
"280",3142,48,21,706,-32,4137,223,189,90,4108,1,29
"281",2860,303,16,379,68,4109,174,230,196,5581,1,29
"282",3207,328,16,677,70,2053,180,220,179,618,3,32
"283",3138,78,19,390,63,4218,241,202,84,3417,1,29
"284",3351,326,13,603,123,2010,189,226,177,1064,3,31
"285",3111,323,14,277,43,216,184,225,180,1552,2,22
"286",3248,38,8,30,0,742,220,222,137,2126,1,38
"287",3152,283,3,268,40,1572,211,239,167,2374,3,32
"288",3322,278,13,0,0,3648,185,242,197,1789,3,32
"289",3190,20,6,42,2,3797,216,228,149,1543,1,23
"290",3127,15,7,702,73,2043,214,225,148,2508,3,32
"291",3290,99,6,361,27,6001,230,232,136,446,1,22
"292",3185,104,10,743,178,2359,238,227,119,2858,3,31
"293",3318,252,3,782,41,960,213,241,166,997,2,23
"294",3222,305,39,170,37,2200,88,187,224,3068,1,29
"295",3126,12,15,153,29,3885,203,207,139,2026,3,24
"296",3027,99,5,256,47,1234,228,233,140,2114,3,32
"297",3241,9,11,350,13,2043,208,219,147,1020,3,31
"298",2705,25,14,30,0,1718,212,208,130,1396,1,20
"299",3193,36,6,108,9,255,220,226,143,1209,2,23
"300",3333,191,19,162,-12,2892,216,251,162,551,3,38
"301",3014,104,2,90,5,2920,222,236,150,607,1,29
"302",2995,11,20,60,17,4562,194,195,133,2564,1,29
"303",2848,109,14,30,0,1371,244,223,105,2432,3,31
"304",3608,27,18,577,196,2932,209,198,119,1433,1,40
"305",2841,338,4,30,-6,1436,210,233,162,2491,3,23
"306",2738,39,13,170,4,1333,220,210,122,1811,1,12
"307",3077,21,7,85,1,1271,216,226,147,816,1,22
"308",2926,45,5,0,0,3734,221,229,143,6348,1,20
"309",2969,95,26,30,-19,484,250,193,54,1706,1,29
"310",3214,317,8,636,-36,2799,200,233,173,60,3,32
"311",3092,339,8,90,22,886,203,228,164,2565,1,30
"312",3463,49,29,789,248,2448,218,165,63,1853,1,40
"313",3106,21,11,218,43,5150,213,217,140,2821,1,22
"314",3356,293,10,228,34,3769,191,238,187,1849,3,38
"315",3291,192,29,376,146,2635,203,247,158,937,3,33
"316",2857,318,28,192,88,371,135,202,201,1026,3,22
"317",3293,116,7,371,69,1266,233,233,133,2293,1,40
"318",3038,342,12,309,-19,2753,195,222,166,1110,1,29
"319",3105,157,17,124,-3,2373,237,240,127,3336,3,33
"320",3038,59,4,60,-4,1504,223,231,143,2873,1,23
"321",3060,39,23,664,147,4401,214,183,94,4034,1,29
"322",3207,149,11,430,67,793,234,240,135,2512,1,22
"323",2985,309,6,330,59,5281,203,236,172,1764,1,29
"324",3169,316,15,618,118,2947,180,226,186,210,3,32
"325",3185,61,23,391,96,1248,232,186,75,1261,1,29
"326",3337,72,8,319,52,1790,230,224,127,1855,1,38
"327",3078,137,16,150,-21,824,243,232,113,1514,1,22
"328",3184,50,19,150,28,1113,225,197,98,1581,1,29
"329",3047,74,13,752,-135,1493,235,215,109,899,1,29
"330",3371,135,1,459,32,1080,221,238,153,2352,3,32
"331",2931,120,12,0,0,3795,240,230,118,1889,1,20
"332",2992,349,19,42,10,2581,181,205,159,765,3,32
"333",3205,308,10,67,12,4222,191,234,182,2250,3,38
"334",2973,9,3,30,1,5466,216,233,154,2334,1,23
"335",3143,73,16,335,24,2188,237,207,96,2322,1,29
"336",2979,15,8,247,-9,1530,213,223,147,1753,1,22
"337",2905,359,10,108,0,2920,205,221,154,1622,3,22
"338",3213,116,15,150,-17,1218,245,224,104,2650,1,22
"339",2980,339,15,277,41,124,187,218,169,755,3,19
"340",3093,166,16,175,15,2100,232,244,138,95,3,31
"341",3150,130,4,212,14,4421,226,237,146,1872,1,23
"342",3248,11,5,170,10,5818,215,230,152,891,1,22
"343",2788,345,18,150,39,3510,181,208,164,5791,1,29
"344",3123,307,17,120,20,3271,173,228,195,5026,1,29
"345",3304,353,9,0,0,4002,204,224,158,1584,1,23
"346",3236,285,19,175,29,1492,163,236,211,2618,3,33
"347",3013,132,14,531,46,4719,242,232,116,1385,1,19
"348",3210,319,5,240,35,551,206,235,168,902,2,23
"349",2884,292,18,60,6,1167,165,233,207,1728,1,30
"350",3206,343,11,648,59,2717,199,224,164,134,3,23
"351",3151,13,28,228,14,2021,181,170,115,853,3,23
"352",2893,351,9,420,97,1113,205,226,159,2848,3,32
"353",3233,327,11,216,-17,2947,193,228,174,365,3,23
"354",3200,40,7,85,-13,2678,221,224,139,2420,1,23
"355",3106,12,10,420,89,1499,210,220,146,2708,3,31
"356",3103,77,8,309,54,3410,231,225,127,914,1,29
"357",3346,269,10,552,123,4298,194,244,189,2006,3,22
"358",3300,287,21,361,108,503,156,233,215,589,2,33
"359",3224,258,6,362,41,805,207,243,175,661,2,23
"360",3018,35,21,67,26,661,212,188,103,2467,1,29
"361",2922,25,10,361,52,4388,215,219,140,5635,1,12
"362",3194,332,12,170,21,4370,191,224,172,636,3,32
"363",3004,328,7,323,33,2932,203,232,168,722,3,32
"364",3245,326,10,256,47,3034,195,229,173,1436,3,23
"365",3288,17,9,693,27,3799,213,221,145,3822,1,29
"366",3273,296,22,371,45,1740,153,227,212,808,3,31
"367",3211,19,16,420,74,1319,206,203,131,182,1,22
"368",3146,28,5,228,10,2724,218,230,148,1357,1,23
"369",2976,318,14,85,16,2282,184,227,183,576,1,29
"370",3394,349,25,277,101,2460,164,189,156,2519,1,39
"371",3053,349,34,446,77,309,139,164,150,1077,3,24
"372",3139,51,15,511,44,5511,226,207,110,1449,1,20
"373",2742,334,6,170,19,2496,206,232,164,6887,1,12
"374",3246,333,13,124,23,4373,191,223,172,2038,3,22
"375",3111,55,4,95,5,792,222,231,145,1570,1,22
"376",3024,238,14,256,-9,5670,193,251,194,2748,1,29
"377",3165,104,6,90,0,3384,230,233,136,4883,1,29
"378",2970,292,25,150,35,5734,141,225,220,1816,1,29
"379",3139,68,17,201,7,1332,235,204,95,2387,3,39
"380",3291,50,24,331,22,2760,223,182,81,1316,3,24
"381",3326,333,9,90,9,2379,200,229,168,2330,3,22
"382",3095,66,16,162,0,1215,234,206,98,2362,3,24
"383",3018,37,7,342,58,5079,220,224,140,4364,1,29
"384",3190,288,13,60,18,2652,184,238,194,1230,3,23
"385",3345,103,12,240,19,1170,240,225,113,1405,3,39
"386",3302,66,20,42,17,1641,235,197,85,1907,1,39
"387",3279,158,23,459,134,1381,237,236,116,1660,2,33
"388",3266,105,11,150,8,1706,239,226,116,2257,3,38
"389",3149,45,5,285,7,3357,221,229,143,4002,1,23
"390",3201,32,8,108,-16,2911,219,224,141,1959,1,22
"391",3352,180,7,300,41,920,223,245,156,1830,3,32
"392",3252,40,11,300,41,5219,221,216,129,255,1,22
"393",3134,43,10,0,0,4260,222,219,131,1920,1,23
"394",3228,11,15,510,41,1937,202,208,140,1889,3,33
"395",3222,18,2,30,2,3417,217,234,154,4109,1,19
"396",3110,287,9,108,19,1260,196,240,183,1506,3,23
"397",3134,58,24,480,211,2174,229,181,72,2442,3,33
"398",3227,81,12,551,79,5978,237,218,110,1746,1,29
"399",3157,41,9,30,2,481,221,221,134,1505,1,23
"400",3269,302,6,525,84,684,203,237,174,190,2,24
"401",3088,68,3,300,87,2007,222,234,148,2835,3,32
"402",2924,45,7,0,0,2413,222,225,138,2563,3,23
"403",3165,301,4,234,23,3287,208,238,168,4440,1,30
"404",3172,17,10,646,155,1784,212,219,144,2550,3,31
"405",3315,294,16,417,97,4200,173,234,201,1879,3,22
"406",2974,46,14,170,29,2912,224,209,116,1410,3,33
"407",2914,116,18,42,13,4381,248,220,94,2720,1,30
"408",3023,113,18,67,23,698,248,218,92,1947,1,29
"409",2911,27,19,42,10,2402,208,194,116,1756,3,33
"410",3267,59,10,268,51,1123,228,219,124,1889,2,23
"411",3361,153,12,404,161,2761,234,240,135,642,3,32
"412",3297,294,17,524,98,1889,172,234,202,3250,1,39
"413",3162,36,14,60,8,3304,218,208,123,726,3,32
"414",3230,116,14,180,-10,2958,244,226,107,1170,3,23
"415",3096,337,35,366,115,255,125,169,171,1304,3,24
"416",3294,28,10,300,40,1959,216,218,137,2505,1,39
"417",3330,140,15,295,57,2284,241,235,120,2016,3,32
"418",3187,240,13,192,4,2193,195,251,192,759,3,32
"419",3066,0,7,124,9,3733,210,228,155,537,3,22
"420",3293,83,23,451,66,1620,245,192,64,2760,1,39
"421",3026,43,10,295,29,2711,222,218,130,834,3,32
"422",2660,20,16,30,10,1040,207,204,130,1825,3,20
"423",3329,188,13,85,7,4478,220,249,160,3254,3,33
"424",3183,108,10,85,10,4535,238,228,120,1956,1,23
"425",3199,17,13,108,36,1374,208,211,138,977,3,22
"426",3080,73,17,240,39,1191,237,205,93,1298,3,33
"427",3164,214,15,361,73,2102,204,253,181,799,1,29
"428",2925,18,15,446,48,457,207,207,134,972,3,31
"429",3164,324,21,382,53,3983,164,213,187,785,3,24
"430",3008,31,16,182,0,3603,214,203,121,2148,1,29
"431",3263,301,30,85,5,2352,125,212,220,2895,1,29
"432",2654,343,25,42,15,1639,162,194,166,1211,3,24
"433",3290,214,9,408,63,3995,212,248,172,2305,1,23
"434",3007,38,13,540,86,1574,219,212,125,511,3,31
"435",2827,106,15,30,5,3917,245,220,99,2974,1,30
"436",3090,325,18,90,12,2717,174,219,183,1310,3,33
"437",2992,7,8,42,3,124,211,225,151,1592,3,23
"438",3171,278,20,240,84,4618,161,239,215,1218,1,22
"439",2850,25,12,391,88,3510,214,215,135,6057,1,12
"440",2762,36,2,212,7,976,219,234,152,1060,3,31
"441",3318,336,31,150,58,942,136,181,175,1443,2,39
"442",3517,92,17,918,232,2518,244,211,90,1101,1,40
"443",3031,320,15,30,5,3629,181,225,183,1826,3,22
"444",3340,128,12,570,-22,537,239,233,122,558,2,32
"445",3062,51,3,0,0,3411,221,232,147,2338,1,23
"446",2982,331,28,90,52,426,145,194,182,2271,1,30
"447",3131,319,10,108,36,4418,195,231,176,1332,1,23
"448",3124,102,18,480,188,1506,247,213,87,2599,3,33
"449",2828,135,3,150,6,845,224,238,150,361,3,32
"450",3091,160,13,60,-10,886,233,242,137,1710,1,23
"451",3212,222,12,351,70,424,204,252,182,1987,2,29
"452",2996,6,20,745,224,819,192,198,139,1374,3,24
"453",3221,332,4,335,-2,6100,211,235,162,1140,1,22
"454",3024,99,13,285,49,2898,241,221,108,6686,1,29
"455",2941,88,7,120,30,3957,231,228,129,5076,1,30
"456",3493,28,16,437,59,2553,212,203,123,2307,1,40
"457",3077,316,14,127,30,607,182,227,185,1006,2,22
"458",3027,27,20,30,9,5112,207,192,114,1974,1,29
"459",3136,339,8,417,-41,924,203,228,164,966,2,23
"460",3123,324,23,170,33,3899,156,208,189,391,3,24
"461",2923,74,12,42,3,2010,234,217,114,2087,3,23
"462",3305,333,32,256,76,760,131,182,180,1276,2,33
